Joan made sure to thank Susan for all the help she had recieved.,she,47,she had received,47,['Joan' 'Susan'],0,Hector Levesque
Joan made sure to thank Susan for all the help she had given.,she,47,she had given,47,['Joan' 'Susan'],1,Hector Levesque
"Paul tried to call George on the phone, but he wasn't successful.",he,44,he wasn't successful.,44,['Paul' 'George'],0,Hector Levesque
"Paul tried to call George on the phone, but he wasn't available.",he,44,he wasn't available.,44,['Paul' 'George'],1,Hector Levesque
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,he,65,he was the winner,65,['Frank' 'Bill'],0,Hector Levesque
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,he,62,he was the winner,62,['Frank' 'Bill'],1,Hector Levesque
John couldn't see the stage with Billy in front of him because he is so short.,he,63,he is so short.,63,['John' 'Billy'],0,Hector Levesque
John couldn't see the stage with Billy in front of him because he is so tall.,he,63,he is so tall.,63,['John' 'Billy'],1,Hector Levesque
Tom threw his schoolbag down to Ray after he reached the top of the stairs.,he,42,he reached the top of the stairs.,42,['Tom' 'Ray'],0,Hector Levesque
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,he,42,he reached the bottom of the stairs.,42,['Tom' 'Ray'],1,Hector Levesque
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",she,66,she had such a good start.,66,['Sue' 'Sally'],0,Hector Levesque
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",she,66,she had such a bad start.,66,['Sue' 'Sally'],1,Hector Levesque
Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,she,68,she had studied so hard.,68,['Anna' 'Lucy'],0,Hector Levesque
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,she,67,she had studied so hard.,67,['Anna' 'Lucy'],1,Hector Levesque
Frank was upset with Tom because the toaster he had bought from him didn't work.,he,45,he had bought,45,['Frank' 'Tom'],0,Hector Levesque
Frank was upset with Tom because the toaster he had sold him didn't work.,he,45,he had sold,45,['Frank' 'Tom'],1,Hector Levesque
Jim yelled at Kevin because he was so upset.,he,28,he was so upset.,28,['Jim' 'Kevin'],0,Hector Levesque
Jim comforted Kevin because he was so upset.,he,28,he was so upset.,28,['Jim' 'Kevin'],1,Hector Levesque
Pete envies Martin although he is very successful.,he,28,he is very successful.,28,['Pete' 'Martin'],0,Ernest Davis
Pete envies Martin because he is very successful.,he,27,he is very successful.,27,['Pete' 'Martin'],1,Ernest Davis
Susan knows all about Ann's personal problems because she is nosy.,she,54,she is nosy,54,['Susan' 'Ann'],0,Ernest Davis
Susan knows all about Ann's personal problems because she is indiscreet.,she,54,she is indiscreet,54,['Susan' 'Ann'],1,Ernest Davis
Sid explained his theory to Mark but he couldn't convince him.,he,37,he couldn't convince him.,37,['Sid' 'Mark'],0,Ernest Davis
Sid explained his theory to Mark but he couldn't understand him.,he,37,he couldn't understand him.,37,['Sid' 'Mark'],1,Ernest Davis
"Susan knew that Ann's son had been in a car accident, so she told her about it.",she,57,she told,57,['Susan' 'Ann'],0,Ernest Davis
"Susan knew that Ann's son had been in a car accident, because she told her about it.",she,62,she told,62,['Susan' 'Ann'],1,Ernest Davis
"Ann asked Mary what time the library closes, because she had forgotten.",she,53,she had forgotten.,53,['Ann' 'Mary'],0,Ernest Davis
"Ann asked Mary what time the library closes, but she had forgotten.",she,49,she had forgotten.,49,['Ann' 'Mary'],1,Ernest Davis
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.",He,92,He is very hurt.,92,['Bob' 'Charlie'],0,Ernest Davis
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.",He,92,He is very ungrateful.,92,['Bob' 'Charlie'],1,Ernest Davis
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",he,97,he would have won.,97,['Bob' 'Adam'],0,Ernest Davis
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.",he,97,he would have lost.,97,['Bob' 'Adam'],1,Ernest Davis
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.",he,100,he would be gone,100,['Adam' 'Bob'],0,Ernest Davis
